epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.14896,1.39631,3.27407,1.51434,0.00286,0.85714,0.40615,0.21259,1.24841,4.05112,1.33112,0.00022,0.00022,0.00022
2,15.2156,1.18742,2.23409,1.26524,0.67182,0.58541,0.55619,0.2894,1.37953,3.65493,1.30013,0.00044482,0.00044482,0.00044482
3,20.7192,1.21022,1.84056,1.23986,0.11592,0.85714,0.66997,0.30751,1.44955,3.65382,1.24983,0.0006538,0.0006538,0.0006538
4,26.3531,1.38099,1.90542,1.37565,0.00317,0.95238,0.08871,0.04667,1.76924,4.64267,1.39849,0.00084694,0.00084694,0.00084694
5,31.9002,1.25323,1.6664,1.24791,1,0.09743,0.40669,0.21035,1.59127,3.95315,1.41876,0.00102424,0.00102424,0.00102424
6,37.3131,1.32386,1.66602,1.35688,1,0.09436,0.16547,0.09049,1.66885,3.92384,1.50099,0.0011857,0.0011857,0.0011857
7,43.2228,1.25377,1.64271,1.26532,0.92289,0.33333,0.46246,0.24736,1.6157,3.60788,1.48592,0.00133132,0.00133132,0.00133132
8,49.9373,1.21717,1.51861,1.233,0.79868,0.61905,0.70482,0.35887,1.65797,2.76448,1.52395,0.0014611,0.0014611,0.0014611
9,57.3969,1.22023,1.44911,1.23184,0.60487,0.61905,0.59762,0.3521,1.62745,3.54251,1.4412,0.001472,0.001472,0.001472
10,64.5153,1.22835,1.40974,1.22625,0.87218,0.7619,0.7734,0.39482,1.69641,2.9103,1.57164,0.001406,0.001406,0.001406
11,71.4503,1.17927,1.27858,1.20617,0.63776,0.52381,0.60893,0.35195,1.62472,2.71312,1.36735,0.00134,0.00134,0.00134
12,78.3301,1.18268,1.34138,1.24207,0.70043,0.47619,0.57323,0.35311,1.59488,2.82404,1.40295,0.001274,0.001274,0.001274
13,85.9829,1.17352,1.3208,1.21651,0.99373,0.66667,0.87848,0.43427,1.6297,2.07021,1.46461,0.001208,0.001208,0.001208
14,93.8483,1.14008,1.17216,1.20146,0.98998,0.7619,0.92261,0.46461,1.60294,1.92819,1.44728,0.001142,0.001142,0.001142
15,102.58,1.14057,1.14935,1.1965,0.93528,0.68886,0.78719,0.46722,1.48148,2.12002,1.32874,0.001076,0.001076,0.001076
16,111.057,1.12478,1.17197,1.22174,0.89075,0.77704,0.88541,0.52257,1.58922,1.75377,1.39088,0.00101,0.00101,0.00101
17,120.622,1.08034,1.08884,1.18384,0.94087,0.7579,0.85541,0.506,1.53402,1.77269,1.39112,0.000944,0.000944,0.000944
18,130.456,1.07616,1.03721,1.14596,1,0.80894,0.88623,0.4875,1.50845,1.59716,1.35465,0.000878,0.000878,0.000878
19,140.348,1.09837,1.00965,1.18323,0.99363,0.80952,0.85585,0.47537,1.58591,1.50362,1.3763,0.000812,0.000812,0.000812
20,150.69,1.11825,1.0199,1.20359,0.88145,0.71429,0.76646,0.47269,1.46632,1.5975,1.30754,0.000746,0.000746,0.000746
21,160.826,0.97839,1.13635,1.09718,0.78507,0.71429,0.70867,0.42083,1.56324,1.71527,1.39204,0.00068,0.00068,0.00068
22,169.841,0.96048,1.08486,1.08329,0.9903,0.66667,0.68598,0.45072,1.52772,1.64818,1.32369,0.000614,0.000614,0.000614
23,178.616,0.96611,0.981,1.0539,0.99508,0.71429,0.83582,0.54043,1.42564,1.38609,1.26815,0.000548,0.000548,0.000548
24,187.572,0.86669,0.91542,1.03036,1,0.75872,0.84359,0.53339,1.43639,1.25182,1.32001,0.000482,0.000482,0.000482
25,196.15,0.88221,0.87821,1.05316,1,0.89811,0.95894,0.61558,1.34524,1.10825,1.24027,0.000416,0.000416,0.000416
26,204.806,0.85205,0.86512,1.0342,0.99708,0.95238,0.95586,0.57005,1.37849,1.10141,1.25848,0.00035,0.00035,0.00035
27,214.034,0.8387,0.82531,1.01524,0.93831,0.85714,0.91675,0.5365,1.42014,1.14361,1.28904,0.000284,0.000284,0.000284
28,222.299,0.80667,0.79129,1.00766,0.94266,0.85714,0.9222,0.534,1.39256,1.1399,1.26163,0.000218,0.000218,0.000218
29,230.647,0.78975,0.78435,1.00442,0.94168,0.85714,0.9155,0.555,1.39182,1.15204,1.26674,0.000152,0.000152,0.000152
30,239.75,0.764,0.78347,1.00957,0.93941,0.80952,0.83754,0.55744,1.38255,1.12496,1.25645,8.6e-05,8.6e-05,8.6e-05
