epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.47175,1.60777,3.55525,1.71617,0.00286,0.85714,0.06199,0.03087,1.65757,4.64783,1.80737,0.00022,0.00022,0.00022
2,10.9112,1.44241,3.33522,1.57176,0.00286,0.85714,0.26203,0.11038,1.58223,4.48577,1.74079,0.00044482,0.00044482,0.00044482
3,15.1493,1.40778,3.08489,1.57218,0.0027,0.80952,0.26609,0.13768,1.53066,4.37468,1.75514,0.0006538,0.0006538,0.0006538
4,19.8573,1.55208,2.81267,1.68433,0.00286,0.85714,0.24519,0.15218,1.49199,4.1852,1.64559,0.00084694,0.00084694,0.00084694
5,24.2164,1.43254,2.51256,1.56202,0.00286,0.85714,0.23966,0.14695,1.59094,4.02023,1.72734,0.00102424,0.00102424,0.00102424
6,28.2908,1.45051,2.39779,1.61688,0.00369,0.61905,0.24715,0.14567,1.65577,3.92921,1.81817,0.0011857,0.0011857,0.0011857
7,33.0351,1.43957,2.29598,1.60674,0.64451,0.2381,0.38873,0.19707,1.6443,3.6103,1.80342,0.00133132,0.00133132,0.00133132
8,38.4968,1.39261,2.05931,1.59117,0.64012,0.38095,0.47667,0.24829,1.59307,3.47186,1.6809,0.0014611,0.0014611,0.0014611
9,43.9316,1.37439,2.04122,1.58086,0.79566,0.47619,0.58352,0.27377,1.53105,3.29933,1.69332,0.001472,0.001472,0.001472
10,49.352,1.39872,1.93065,1.56768,0.62693,0.52381,0.5778,0.29354,1.58913,2.95737,1.78778,0.001406,0.001406,0.001406
11,55.4336,1.36959,1.81697,1.55499,0.55673,0.66667,0.62457,0.31935,1.62331,2.61556,1.81553,0.00134,0.00134,0.00134
12,61.1725,1.35086,1.86212,1.56117,0.66545,0.7619,0.69423,0.35469,1.5548,2.53252,1.75888,0.001274,0.001274,0.001274
13,67.5614,1.36082,1.79483,1.56625,0.61576,0.66667,0.65749,0.34467,1.56436,2.37531,1.76436,0.001208,0.001208,0.001208
14,73.676,1.32145,1.64631,1.50474,0.66503,0.71429,0.68118,0.34459,1.56557,2.28023,1.74301,0.001142,0.001142,0.001142
15,81.6274,1.35333,1.64238,1.54981,0.67037,0.71429,0.66756,0.3454,1.56589,2.21773,1.75539,0.001076,0.001076,0.001076
16,89.7985,1.29638,1.6914,1.53709,0.72436,0.75121,0.72913,0.35666,1.59308,2.17557,1.76372,0.00101,0.00101,0.00101
17,98.1809,1.33772,1.68789,1.51478,0.79642,0.7619,0.77419,0.41623,1.58352,2.05361,1.7563,0.000944,0.000944,0.000944
18,106.727,1.29654,1.55508,1.46922,0.73557,0.71429,0.73191,0.41313,1.48037,2.05392,1.68502,0.000878,0.000878,0.000878
19,115.762,1.28794,1.53037,1.49156,0.81392,0.7619,0.80121,0.42095,1.54591,2.00372,1.71552,0.000812,0.000812,0.000812
20,124.938,1.37017,1.62369,1.55643,0.73216,0.78153,0.79651,0.41719,1.56435,1.95413,1.73645,0.000746,0.000746,0.000746
21,134.319,1.19197,1.64703,1.45333,0.82788,0.71429,0.75233,0.43175,1.53329,2.02017,1.68294,0.00068,0.00068,0.00068
22,142.389,1.1932,1.65451,1.47894,0.86029,0.66667,0.73264,0.44244,1.43641,1.97993,1.63374,0.000614,0.000614,0.000614
23,150.179,1.1371,1.59826,1.41719,0.871,0.57143,0.71104,0.4161,1.48386,1.91751,1.69645,0.000548,0.000548,0.000548
24,158.215,1.15566,1.55521,1.44993,0.87864,0.69025,0.82176,0.42433,1.52173,1.84305,1.71183,0.000482,0.000482,0.000482
25,165.986,1.14007,1.47843,1.47231,0.90884,0.66667,0.78704,0.43085,1.48783,1.85489,1.65835,0.000416,0.000416,0.000416
26,173.229,1.12166,1.47947,1.42457,0.93277,0.71429,0.83737,0.45104,1.47467,1.82584,1.64616,0.00035,0.00035,0.00035
27,180.98,1.10969,1.47614,1.43466,0.93,0.71429,0.84739,0.46174,1.46155,1.81008,1.6472,0.000284,0.000284,0.000284
28,187.621,1.10782,1.49344,1.45674,0.92275,0.71429,0.8391,0.46535,1.43266,1.77685,1.64634,0.000218,0.000218,0.000218
29,194.359,1.12147,1.43764,1.43142,0.91133,0.71429,0.8399,0.45367,1.41016,1.74573,1.63013,0.000152,0.000152,0.000152
30,201.754,1.10534,1.45155,1.43908,0.91204,0.71429,0.84259,0.46631,1.40672,1.72311,1.62258,8.6e-05,8.6e-05,8.6e-05
